Loan_ID,Customer_ID,Branch,City,State,Gender,Age,Occupation,Annual_Income,Credit_Score,Existing_Loans,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Months,EMI,Application_Date,Approval_Date,Loan_Status,Disbursed_Amount,Default_Flag,Days_Past_Due,Recovery_Amount,Relationship_Years,Account_Type,Digital_Banking
L00001,C10001,Chandigarh,Chandigarh,Chandigarh,Male,22,Business,89196,709,4,Home,371208,7.79,36,11596.38,2024-08-11,21-08-2024,Approved,371208,Yes,80,187700,13,Savings,No
L00002,C10002,Kolkata West,Kolkata,West Bengal,Female,21,Self-employed,66853,802,3,Personal,40379,9.44,60,846.85,2024-04-14,16-04-2024,Approved,40379,No,0,0,11,Current,Yes
L00003,C10003,Kochi,Kochi,Kerala,Female,55,Salaried,124230,741,4,Business,269600,12.7,180,3358.05,2024-03-12,16-03-2024,Approved,269600,No,0,0,2,Savings,Yes
L00004,C10004,Ahmedabad,Ahmedabad,Gujarat,Female,50,Business,120638,717,1,Personal,47460,13.53,180,617.13,2025-11-30,10-12-2025,Approved,47460,No,0,0,7,Savings,No
L00005,C10005,Ahmedabad,Ahmedabad,Gujarat,Female,56,Salaried,110008,756,1,Education,135518,10.34,60,2902.08,2024-03-08,18-03-2024,Approved,135518,No,0,0,10,Savings,No
L00006,C10006,Ahmedabad,Ahmedabad,Gujarat,Female,30,Salaried,89651,588,4,Personal,117912,12.76,120,1743.9,2025-02-12,,Rejected,0,No,0,0,4,Current,Yes
L00007,C10007,Bhopal,Bhopal,Madhya Pradesh,Male,28,Salaried,66938,709,0,Personal,98104,16.47,120,1672.22,2024-09-14,,Pending,0,No,0,0,0,Savings,No
L00008,C10008,Bhopal,Bhopal,Madhya Pradesh,Female,28,Salaried,66460,619,3,Home,528584,15.38,60,12680.66,2025-05-27,,Rejected,0,No,0,0,3,Current,Yes
L00009,C10009,Bengaluru East,Bengaluru,Karnataka,Female,31,Salaried,164029,772,3,Home,340306,15.41,60,8169.28,2024-09-02,12-09-2024,Approved,340306,No,0,0,2,Current,Yes
L00010,C10010,Bhopal,Bhopal,Madhya Pradesh,Male,29,Business,169127,643,1,Home,468029,11.31,48,12167.03,2025-07-06,,Rejected,0,No,0,0,6,Current,No
L00011,C10011,Chandigarh,Chandigarh,Chandigarh,Female,49,Self-employed,143354,726,2,Home,440414,9.57,48,11079.31,2024-01-08,09-01-2024,Approved,440414,No,0,0,1,Current,Yes
L00012,C10012,Lucknow,Lucknow,Uttar Pradesh,Male,38,Business,81160,724,4,Home,449391,12.69,48,11987.01,2025-04-29,03-05-2025,Approved,449391,No,0,0,13,Current,No
L00013,C10013,Ahmedabad,Ahmedabad,Gujarat,Female,24,Business,50799,794,0,Home,249724,12.33,48,6616.73,2025-03-08,16-03-2025,Approved,249724,No,0,0,2,Current,Yes
